category,title,published,author and source,content,excerpt,read more text,read more link
Press Release,Kurt Pairitz Joins Newcastle Limited,"January 4, 2011",,"CHICAGO – Kurt Pairitz has joined Newcastle Limited as Senior Vice President responsible for the firm’s development and project management activities, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.<br>At Newcastle, Pairitz will oversee the firm's development and redevelopment activities, and will work closely with Newcastle's acquisitions and property management teams to pursue and execute new projects.  “Kurt is a great addition to the Newcastle team,” said Mike Haney, president and CEO of Newcastle Limited.  “His experience is a valuable asset for our clients and an advantage for our development team.""<br>Pairitz brings an extensive background in development and project management to Newcastle Limited. Prior to joining Newcastle, he served as Executive Vice President of Development with ORIX Real Estate Capital where he oversaw its national real estate development program.<br>Pairitz earned a Bachelor of Architecture from the Illinois Institute of Technology in Chicago, and a MBA from the Lake Forest Graduate School of Management.  He is a licensed Architect and a member of the National Association of Industrial and Office Properties, the International Council of Shopping Centers, the American Institute of Architects, and Landmarks Illinois.<br>Newcastle Limited is a Chicago-based real estate advisory and investment firm serving institutions, corporations and investors.  The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk.  Using its $500 million investment platform, Newcastle acquires urban Chicago real estate — multi-family, retail and mixed-use.  An entrepreneurial investor with institutional backing, Newcastle can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at (312) 252-1401 or visit the company website at www.newcastlelimited.com.","CHICAGO – Kurt Pairitz has joined Newcastle Limited as Senior Vice President responsible for the firm’s development and project management activities, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.<br>At Newcastle, Pairitz will oversee the firm's development and redevelopment activities, and will work closely with Newcastle's acquisitions and property management teams to pursue and execute new projects.  “Kurt is a great addition to the Newcastle team,” said Mike Haney, president and CEO of Newcastle Limited.  “His experience is a valuable asset for our clients and an advantage for our development team.""<br>Pairitz brings an extensive background in development and project management to Newcastle Limited. Prior to joining Newcastle, he served as Executive Vice President of Development with ORIX Real Estate Capital where he oversaw its national real estate development program.<br>Pairitz earned a Bachelor of Architecture from the Illinois Institute of Technology in Chicago, and a MBA from the Lake Forest Graduate School of Management.  He is a licensed Architect and a member of the National Association of Industrial and Office Properties, the International Council of Shopping Centers, the American Institute of Architects, and Landmarks Illinois.<br>Newcastle Limited is a Chicago-based real estate advisory and investment firm serving institutions, corporations and investors.  The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk.  Using its $500 million investment platform, Newcastle acquires urban Chicago real estate — multi-family, retail and mixed-use.  An entrepreneurial investor with institutional backing, Newcastle can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at (312) 252-1401 or visit the company website at www.newcastlelimited.com.",,
Press Release,Newcastle Limited Buys Investment Property in Chicago's Lincoln Park Neighborhood,"December 6, 2010",,"CHICAGO – Newcastle Limited has acquired a mixed-use property consisting of 4,300 square feet of prime retail space and 12 apartments in the Lincoln Park neighborhood for $3.0 million.  Newcastle purchased the property on behalf of the firm’s $500 million Chicago real estate investment platform.  The deal was closed in 45 days.  Kyle Stengle and Steve Rachman of Marcus &amp; Millichap represented the seller in the transaction.<br>Built in 1923, 2525 North Clark is located on the corner of Clark Street and Deming Place in Chicago’s Lincoln Park neighborhood.  Current retail tenants include Starbucks Coffee; Austrian Bakery, a neighborhood restaurant specializing in traditional Austrian specialties; and, Sultan’s Market, a Chicago destination spot know for its Middle Eastern cuisine.<br>“Newcastle's investment focus on Chicago-area, urban real estate made 2525 North Clark a perfect fit for our portfolio,” said Michael R. Haney, President and CEO of Newcastle Limited.  “We're finding that certainty of execution is sellers' primary concern in today's market.  Our cash offer, financial wherewithal and quick close satisfied the seller's objectives.""<br>Newcastle Limited is a Chicago-based real estate advisory and investment firm serving institutions, corporations and investors.  The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk.  Using its $500 million investment platform, Newcastle acquires urban Chicago real estate — multi-family, retail and mixed-use.  An entrepreneurial investor with institutional backing, Newcastle can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at (312) 252-1401 or visit the company website at www.newcastlelimited.com.","CHICAGO – Newcastle Limited has acquired a mixed-use property consisting of 4,300 square feet of prime retail space and 12 apartments in the Lincoln Park neighborhood for $3.0 million.  Newcastle purchased the property on behalf of the firm’s $500 million Chicago real estate investment platform.  The deal was closed in 45 days.  Kyle Stengle and Steve Rachman of Marcus &amp; Millichap represented the seller in the transaction.<br>Built in 1923, 2525 North Clark is located on the corner of Clark Street and Deming Place in Chicago’s Lincoln Park neighborhood.  Current retail tenants include Starbucks Coffee; Austrian Bakery, a neighborhood restaurant specializing in traditional Austrian specialties; and, Sultan’s Market, a Chicago destination spot know for its Middle Eastern cuisine.<br>“Newcastle's investment focus on Chicago-area, urban real estate made 2525 North Clark a perfect fit for our portfolio,” said Michael R. Haney, President and CEO of Newcastle Limited.  “We're finding that certainty of execution is sellers' primary concern in today's market.  Our cash offer, financial wherewithal and quick close satisfied the seller's objectives.""<br>Newcastle Limited is a Chicago-based real estate advisory and investment firm serving institutions, corporations and investors.  The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk.  Using its $500 million investment platform, Newcastle acquires urban Chicago real estate — multi-family, retail and mixed-use.  An entrepreneurial investor with institutional backing, Newcastle can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at (312) 252-1401 or visit the company website at www.newcastlelimited.com.",,
Press Release,Rosemary Dwyer Joins Newcastle's Reside Living,"November 8, 2010",,"CHICAGO – Rosemary Dwyer has joined Newcastle Limited’s Reside Living as Regional Manager, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.  At Reside, Dwyer is responsible for the supervision of on-site property operations of Newcastle’s apartment portfolio. Her responsibilities include financial and occupancy goals, and maintaining the physical asset and customer service standards of the firm’s Reside Living apartment brand. Dwyer brings 17 years of experience in apartment management to the firm.  Prior to joining Reside, she served as Regional Property Manager with GreyStar Management where she was responsible for performance of its central region portfolio.Dwyer earned a Bachelor of Arts in Communications from Loyola University in Chicago. Reside Living, a wholly owned subsidiary of Newcastle Limited, manages the firm’s investment portfolio of 1,300 multi-family units and 140,000 s.f. of retail space. To learn more about how Newcastle’s Reside Living apartment communities are redefining Chicago apartments visit www.resideliving.com.Newcastle Limited is a Chicago-based real estate advisory and investment firm serving institutions, corporations and investors.  The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk. Using its $500 million investment platform, Newcastle acquires urban Chicago real estate — multi-family, retail and mixed-use. The firm can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at 312 252-1401 or visit the company website at www.newcastelimited.com.","CHICAGO – Rosemary Dwyer has joined Newcastle Limited’s Reside Living as Regional Manager, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.  At Reside, Dwyer is responsible for the supervision of on-site property operations of Newcastle’s apartment portfolio. Her responsibilities include financial and occupancy goals, and maintaining the physical asset and customer service standards of the firm’s Reside Living apartment brand. Dwyer brings 17 years of experience in apartment management to the firm.  Prior to joining Reside, she served as Regional Property Manager with GreyStar Management where she was responsible for performance of its central region portfolio.Dwyer earned a Bachelor of Arts in Communications from Loyola University in Chicago. Reside Living, a wholly owned subsidiary of Newcastle Limited, manages the firm’s investment portfolio of 1,300 multi-family units and 140,000 s.f. of retail space. To learn more about how Newcastle’s Reside Living apartment communities are redefining Chicago apartments visit www.resideliving.com.Newcastle Limited is a Chicago-based real estate advisory and investment firm serving institutions, corporations and investors.  The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk. Using its $500 million investment platform, Newcastle acquires urban Chicago real estate — multi-family, retail and mixed-use. The firm can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at 312 252-1401 or visit the company website at www.newcastelimited.com.",,
Press Release,Samuel J. Hergott Joins Newcastle Limited,"September 28, 2010",,"CHICAGO – Samuel J. Hergott has joined Newcastle Limited as Retail Portfolio Manager, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.  At Newcastle, Hergott oversees the firm's retail portfolio.  His responsibilities include strategic planning, leasing and property operations. Hergott brings six years of experience in retail leasing and management to Newcastle Limited. Prior to joining Newcastle, he served as Senior Leasing Associate with The Shiner Group where he was responsible for leasing and management of its retail properties.Hergott earned a Bachelor of Arts in Communications from Saint John’s University in Collegeville, Minnesota. He is a member of the International Council of Shopping Centers. Newcastle Limited is a Chicago-based real estate advisor and investor serving institutions, corporations and investors. The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk. Using its $500 million investment platform, Newcastle acquires urban commercial and multi-family properties throughout the Chicago area. The firm can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at (312) 252-1401 or visit the company website at www.newcastelimited.com.","CHICAGO – Samuel J. Hergott has joined Newcastle Limited as Retail Portfolio Manager, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.  At Newcastle, Hergott oversees the firm's retail portfolio.  His responsibilities include strategic planning, leasing and property operations. Hergott brings six years of experience in retail leasing and management to Newcastle Limited. Prior to joining Newcastle, he served as Senior Leasing Associate with The Shiner Group where he was responsible for leasing and management of its retail properties.Hergott earned a Bachelor of Arts in Communications from Saint John’s University in Collegeville, Minnesota. He is a member of the International Council of Shopping Centers. Newcastle Limited is a Chicago-based real estate advisor and investor serving institutions, corporations and investors. The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk. Using its $500 million investment platform, Newcastle acquires urban commercial and multi-family properties throughout the Chicago area. The firm can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at (312) 252-1401 or visit the company website at www.newcastelimited.com.",,
Press Release,"Peter S. Buhl, Jr. Joins Newcastle Limited","September 23, 2010",,"CHICAGO –  Peter S. Buhl, Jr. has joined Newcastle Limited as Senior Asset Manager, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.At Newcastle, Buhl is responsible for overseeing the firm's portfolio of multi-family assets, developing long-term strategies and monitoring property performance. Buhl will work closely with Newcastle's property management team to maximize portfolio value and deliver on the standards of the firm’s Reside Living apartment brand.Buhl brings over six years of experience in development and asset management to Newcastle Limited. Prior to joining Newcastle, he served as Associate with Lincoln Property Company's Midwest Region where he was responsible for driving portfolio growth through leasing and redevelopment initiatives.Buhl earned a Bachelor of Arts in Business from Loras College in Dubuque, Iowa and a Masters of Business Administration, with a focus in finance, from Elmhurst College in Elmhurst, Illinois. He is a member of Young Real Estate Professionals and actively involved with the National Multi Housing Counsel and Urban Land Institute.Newcastle Limited is a Chicago-based real estate advisor and investor serving institutions, corporations and investors. The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk. Using its $500 million investment platform, Newcastle acquires urban commercial and multi-family properties throughout the Chicago area. The firm can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at 312 252-1401 or visit the company website at www.newcastelimited.com.","CHICAGO –  Peter S. Buhl, Jr. has joined Newcastle Limited as Senior Asset Manager, announced Michael R. Haney, President and CEO of the Chicago-based real estate advisory and investment firm that serves institutions, corporations and investors.At Newcastle, Buhl is responsible for overseeing the firm's portfolio of multi-family assets, developing long-term strategies and monitoring property performance. Buhl will work closely with Newcastle's property management team to maximize portfolio value and deliver on the standards of the firm’s Reside Living apartment brand.Buhl brings over six years of experience in development and asset management to Newcastle Limited. Prior to joining Newcastle, he served as Associate with Lincoln Property Company's Midwest Region where he was responsible for driving portfolio growth through leasing and redevelopment initiatives.Buhl earned a Bachelor of Arts in Business from Loras College in Dubuque, Iowa and a Masters of Business Administration, with a focus in finance, from Elmhurst College in Elmhurst, Illinois. He is a member of Young Real Estate Professionals and actively involved with the National Multi Housing Counsel and Urban Land Institute.Newcastle Limited is a Chicago-based real estate advisor and investor serving institutions, corporations and investors. The firm helps clients use real estate strategically to achieve overall mission objectives more quickly, at a lower cost, and with less risk. Using its $500 million investment platform, Newcastle acquires urban commercial and multi-family properties throughout the Chicago area. The firm can deploy large amounts of capital and close transactions quickly.   To learn more about Newcastle, call Mike Haney at 312 252-1401 or visit the company website at www.newcastelimited.com.",,
Press Release,Newcastle Limited completes lease of two Loyola University Chicago land parcels. Newcastle helps Loyola advance its visionary master-plan.,"April 8, 2008",,"CHICAGO – On behalf of Loyola University Chicago, Newcastle Limited has negotiated a 75-year lease for two parcels of land totaling more than 55,000 square feet at 6474-6500 N. Sheridan Road and 1200-1220 W. Arthur Avenue in Chicago’s Rogers Park neighborhood with real estate developer, McCaffery Interests Inc.McCaffery will develop the first phase of a two-phase $400 million development called Loyola Station on the site owned by Loyola University Chicago. The mixed-use development will consist of residential, retail and parking components, including 10 university-owned residences.“The land lease was the first step in Loyola’s forward-looking master plan to create both a university- and transportation-oriented development on the site,” said Peter Tortorello, vice president at Newcastle Limited. “With its easy access to public transportation and the lakefront, the development will be an appealing option for the University’s growing student and employee population as well as enhancing the entire neighborhood.” he added.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate investor and advisor serving institutions, corporations and investors. Newcastle acquires urban commercial and multi-family residential properties in the Chicago metropolitan area. An entrepreneurial investor with institutional backing, Newcastle can deploy large amounts of capital and close transactions quickly. More information is available at www.newcastlelimited.com.","CHICAGO – On behalf of Loyola University Chicago, Newcastle Limited has negotiated a 75-year lease for two parcels of land totaling more than 55,000 square feet at 6474-6500 N. Sheridan Road and 1200-1220 W. Arthur Avenue in Chicago’s Rogers Park neighborhood with real estate developer, McCaffery Interests Inc.McCaffery will develop the first phase of a two-phase $400 million development called Loyola Station on the site owned by Loyola University Chicago. The mixed-use development will consist of residential, retail and parking components, including 10 university-owned residences.“The land lease was the first step in Loyola’s forward-looking master plan to create both a university- and transportation-oriented development on the site,” said Peter Tortorello, vice president at Newcastle Limited. “With its easy access to public transportation and the lakefront, the development will be an appealing option for the University’s growing student and employee population as well as enhancing the entire neighborhood.” he added.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate investor and advisor serving institutions, corporations and investors. Newcastle acquires urban commercial and multi-family residential properties in the Chicago metropolitan area. An entrepreneurial investor with institutional backing, Newcastle can deploy large amounts of capital and close transactions quickly. More information is available at www.newcastlelimited.com.",,
Press Release,Newcastle Limited Increases Its Retail Portfolio - Newcastle Acquires 801 West Diversey Parkway in Chicago's Lincoln Park Neighborhood,"April 1, 2008",,"CHICAGO – Adding to its retail holdings, Newcastle Limited has acquired a 17,514-square-foot building at 801 West Diversey in Chicago’s Lincoln Park neighborhood for $10 million. The purchase marks Newcastle’s third retail acquisition since the first of the year.“We were immediately attracted to the opportunity because of the property’s excellent location in a strong retail corridor of Lincoln Park,” said Michael R. Haney, president and CEO of Newcastle Limited. “The purchase of 801 W. Diversey adds to our retail holdings in the Lincoln Park and Lakeview neighborhoods, and bolsters our efforts to acquire commercial properties throughout Chicago.”Located at the intersection of Halsted and Diversey, the single-story building is currently 81 percent leased to tenants, including Dunkin Donuts, Back to Bed and Performance Bicycle Shop. The property includes 32 parking spaces and has easy access to Lake Shore Drive as well as close proximity to public transportation.David Stone of Stone Real Estate represented all parties in the transaction.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.","CHICAGO – Adding to its retail holdings, Newcastle Limited has acquired a 17,514-square-foot building at 801 West Diversey in Chicago’s Lincoln Park neighborhood for $10 million. The purchase marks Newcastle’s third retail acquisition since the first of the year.“We were immediately attracted to the opportunity because of the property’s excellent location in a strong retail corridor of Lincoln Park,” said Michael R. Haney, president and CEO of Newcastle Limited. “The purchase of 801 W. Diversey adds to our retail holdings in the Lincoln Park and Lakeview neighborhoods, and bolsters our efforts to acquire commercial properties throughout Chicago.”Located at the intersection of Halsted and Diversey, the single-story building is currently 81 percent leased to tenants, including Dunkin Donuts, Back to Bed and Performance Bicycle Shop. The property includes 32 parking spaces and has easy access to Lake Shore Drive as well as close proximity to public transportation.David Stone of Stone Real Estate represented all parties in the transaction.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.",,
Press Release,"Property Transaction Expands Loyola's Water Tower Campus, YMCA's Endowment","February 13, 2008",,"CHICAGO – Benefiting two of the city’s major institutions, Newcastle Limited has arranged the sale of a surface parking lot owned by the YMCA of Metropolitan Chicago and an adjacent four-story, retail and apartment building to Loyola University Chicago.Totaling $40 million, the pair of acquisitions provide Loyola with a 61,470-square-foot site on the northwest corner of Chicago Avenue and State Street for future expansion.Newcastle represented all three parties in the deal. The transactions expand on Newcastle’s existing relationship with both the YMCA of Metropolitan Chicago and Loyola University.The firm previously negotiated the YMCA’s sealed-bid offering of the 4.3-acre Rich Port YMCA property in LaGrange and the $10 million sale of its 254-acre Hastings Lake site in Lindenhurst to the Lake County Forest Preserve District.Newcastle also recently represented Loyola in the offering of 4.6 acres on Chicago’s North Side for the Loyola Station project, and previously represented Loyola on the $20 million sale of its 17-acre Mallinckrodt Campus to the Wilmette Park District and the lease of a 24,000 square foot site at Rush and Pearson currently being developed with a 53-story luxury retirement community and space for Loyola.Loyola University Chicago, founded in 1870, is the nation’s largest Jesuit, Catholic university, with an enrollment of more than 15,500 students.The YMCA of Metropolitan Chicago, founded in 1858, is an inclusive, charitable association dedicated to building strong children, families and communities.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.","CHICAGO – Benefiting two of the city’s major institutions, Newcastle Limited has arranged the sale of a surface parking lot owned by the YMCA of Metropolitan Chicago and an adjacent four-story, retail and apartment building to Loyola University Chicago.Totaling $40 million, the pair of acquisitions provide Loyola with a 61,470-square-foot site on the northwest corner of Chicago Avenue and State Street for future expansion.Newcastle represented all three parties in the deal. The transactions expand on Newcastle’s existing relationship with both the YMCA of Metropolitan Chicago and Loyola University.The firm previously negotiated the YMCA’s sealed-bid offering of the 4.3-acre Rich Port YMCA property in LaGrange and the $10 million sale of its 254-acre Hastings Lake site in Lindenhurst to the Lake County Forest Preserve District.Newcastle also recently represented Loyola in the offering of 4.6 acres on Chicago’s North Side for the Loyola Station project, and previously represented Loyola on the $20 million sale of its 17-acre Mallinckrodt Campus to the Wilmette Park District and the lease of a 24,000 square foot site at Rush and Pearson currently being developed with a 53-story luxury retirement community and space for Loyola.Loyola University Chicago, founded in 1870, is the nation’s largest Jesuit, Catholic university, with an enrollment of more than 15,500 students.The YMCA of Metropolitan Chicago, founded in 1858, is an inclusive, charitable association dedicated to building strong children, families and communities.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.",,
Press Release,"Newcastle Limited Acquires 16,000-square-foot Shopping Center","February 4, 2008",,"CHICAGO – Newcastle Limited acquired the Belle Plaine Plaza Shopping Center, 4066 North Milwaukee Avenue, in Chicago’s Portage Park neighborhood. The 16,000-square-foot property was purchased for $3.3 million from Midwest Real Estate Equities, Inc. on behalf of Newcastle’s $500 million Chicago investment platform. Newcastle was represented in the transaction by Tyler Quast of Zifkin Realty &amp; Development.“With its great visibility in a high traffic area, we are thrilled to add Belle Plaine Plaza Shopping Center to our growing Chicago portfolio of retail and multi-family properties,” said Michael R. Haney, President and CEO of Newcastle Limited.  “The property’s proximity to the Kennedy Expressway and the Six Corners retail district, as well as its parking, made this an attractive asset.”Bell Plaine Plaza features two single story retail buildings offering more than 16,000 rentable square feet and more than 40 parking spaces. The property is currently 100 percent leased by tenants Dollar Tree, Subway restaurant and AthletiCo Physical Therapy.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.","CHICAGO – Newcastle Limited acquired the Belle Plaine Plaza Shopping Center, 4066 North Milwaukee Avenue, in Chicago’s Portage Park neighborhood. The 16,000-square-foot property was purchased for $3.3 million from Midwest Real Estate Equities, Inc. on behalf of Newcastle’s $500 million Chicago investment platform. Newcastle was represented in the transaction by Tyler Quast of Zifkin Realty &amp; Development.“With its great visibility in a high traffic area, we are thrilled to add Belle Plaine Plaza Shopping Center to our growing Chicago portfolio of retail and multi-family properties,” said Michael R. Haney, President and CEO of Newcastle Limited.  “The property’s proximity to the Kennedy Expressway and the Six Corners retail district, as well as its parking, made this an attractive asset.”Bell Plaine Plaza features two single story retail buildings offering more than 16,000 rentable square feet and more than 40 parking spaces. The property is currently 100 percent leased by tenants Dollar Tree, Subway restaurant and AthletiCo Physical Therapy.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.",,
Press Release,Newcastle Limited Acquires Historic Belmont House in Chicago's Lakeview Neighborhood,"January 15, 2008",,"CHICAGO – Newcastle Limited has completed the $56 million acquisition of the historic Belmont House, 3170 North Sheridan Road, in Chicago’s Lakeview neighborhood. The property — part of an 896-unit, seven-building portfolio — was purchased from an affiliate of Wexenthaller Realty Management on behalf of Newcastle’s $500 million Chicago investment platform. Newcastle expects to close on the remaining six properties in the Wexenthaller portfolio over the next 30 days. Newcastle was represented by Kiser Group.The 13-story, 315,000-square-foot Belmont House combines 269 rental apartments, 97 percent leased, and 9,000 square feet of retail, 100 percent leased. Built as a luxury hotel in 1924, Belmont House now offers 24 apartment floor plans, including studios, one- two- and three-bedrooms, and penthouse residences. Overlooking Lake Michigan, the property provides convenient access to Lake Shore Drive, public transportation, parks and recreation, and upscale neighborhood boutiques and restaurants.“This elegant building combines classic architecture with modern amenities in a prominent, popular neighborhood,” said Michael R. Haney, President and CEO of Newcastle Limited. “We regard Belmont House as an excellent addition to our Chicago portfolio.”Since the beginning of 2007, Newcastle has acquired more than 900 apartments throughout Chicago. At Belmont House, the firm plans to renovate common areas and residences, revitalizing the grand lobby and capitalizing on existing features such as nine-foot ceilings, a rooftop sundeck and fitness center.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.","CHICAGO – Newcastle Limited has completed the $56 million acquisition of the historic Belmont House, 3170 North Sheridan Road, in Chicago’s Lakeview neighborhood. The property — part of an 896-unit, seven-building portfolio — was purchased from an affiliate of Wexenthaller Realty Management on behalf of Newcastle’s $500 million Chicago investment platform. Newcastle expects to close on the remaining six properties in the Wexenthaller portfolio over the next 30 days. Newcastle was represented by Kiser Group.The 13-story, 315,000-square-foot Belmont House combines 269 rental apartments, 97 percent leased, and 9,000 square feet of retail, 100 percent leased. Built as a luxury hotel in 1924, Belmont House now offers 24 apartment floor plans, including studios, one- two- and three-bedrooms, and penthouse residences. Overlooking Lake Michigan, the property provides convenient access to Lake Shore Drive, public transportation, parks and recreation, and upscale neighborhood boutiques and restaurants.“This elegant building combines classic architecture with modern amenities in a prominent, popular neighborhood,” said Michael R. Haney, President and CEO of Newcastle Limited. “We regard Belmont House as an excellent addition to our Chicago portfolio.”Since the beginning of 2007, Newcastle has acquired more than 900 apartments throughout Chicago. At Belmont House, the firm plans to renovate common areas and residences, revitalizing the grand lobby and capitalizing on existing features such as nine-foot ceilings, a rooftop sundeck and fitness center.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.",,
Press Release,Newcastle Limited Acquires Two Residential Properties in Chicago's Rogers Park Neighborhood,"October 1, 2007",,"CHICAGO – Newcastle Limited has acquired two apartment buildings at 1345 W. Lunt Ave. and 1340 W. Morse Ave. in Chicago’s Rogers Park neighborhood. The $5.8 million acquisition is part of the company’s $500 million Chicago investment platform.“Morse Avenue is emerging as a lively corridor for arts, entertainment and dining,” said Michael R. Haney, president and CEO of Newcastle Limited. “This acquisition represents an opportunity to both participate in - and benefit from - the area’s resurgence.”The four-story buildings, completed in 1967, comprise 110 studio, one- and two-bedroom apartments, and feature 65 parking spaces. Three blocks from Lake Michigan, the properties are convenient to the Morse station on the Chicago Transit Authority’s Red Line and Loyola University Chicago’s Lake Shore campus. Restaurants, cafes, music venues, galleries and theaters are close by.Newcastle plans an extensive renovation of the buildings. Upon completion, Newcastle intends to own and operate these rental residences on a long-term basis.Newcastle invests in commercial and multi-family properties, from stabilized assets to development opportunities, in Chicago neighborhoods and suburban downtowns. With its $500 million platform, Newcastle can deploy large amounts of capital and closes transactions quickly. Since the beginning of 2007, the firm has acquired more than 800 apartment units.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.","CHICAGO – Newcastle Limited has acquired two apartment buildings at 1345 W. Lunt Ave. and 1340 W. Morse Ave. in Chicago’s Rogers Park neighborhood. The $5.8 million acquisition is part of the company’s $500 million Chicago investment platform.“Morse Avenue is emerging as a lively corridor for arts, entertainment and dining,” said Michael R. Haney, president and CEO of Newcastle Limited. “This acquisition represents an opportunity to both participate in - and benefit from - the area’s resurgence.”The four-story buildings, completed in 1967, comprise 110 studio, one- and two-bedroom apartments, and feature 65 parking spaces. Three blocks from Lake Michigan, the properties are convenient to the Morse station on the Chicago Transit Authority’s Red Line and Loyola University Chicago’s Lake Shore campus. Restaurants, cafes, music venues, galleries and theaters are close by.Newcastle plans an extensive renovation of the buildings. Upon completion, Newcastle intends to own and operate these rental residences on a long-term basis.Newcastle invests in commercial and multi-family properties, from stabilized assets to development opportunities, in Chicago neighborhoods and suburban downtowns. With its $500 million platform, Newcastle can deploy large amounts of capital and closes transactions quickly. Since the beginning of 2007, the firm has acquired more than 800 apartment units.About Newcastle LimitedNewcastle Limited is a Chicago-based real estate owner and advisor serving institutions, corporations and investors. The firm’s advisory services help clients use real estate strategically to achieve their objectives more quickly, at a lower cost, and with less risk. With $500 million in investment capital, Newcastle also purchases urban commercial and multi-family properties throughout the Chicago area. More information is available at www.newcastlelimited.com.",,
